SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 5.03 sec
SAR_sweep_lr0.00005_b256 | score=0.1, nms=0.1 | time: 11.11 sec
SAR_sweep_lr0.00005_b512 | score=0.1, nms=0.1 | time: 8.22 sec
SAR_sweep_lr0.0001_b256 | score=0.1, nms=0.1 | time: 8.00 sec
SAR_sweep_lr0.0001_b512 | score=0.1, nms=0.1 | time: 7.99 sec
SAR_sweep_lr0.0002_b1024 | score=0.1, nms=0.1 | time: 7.66 sec
SAR_sweep_lr0.0002_b256 | score=0.1, nms=0.1 | time: 7.88 sec
SAR_sweep_lr0.0002_b512 | score=0.1, nms=0.1 | time: 7.76 sec
SAR_sweep_lr0.0002_b1024 | score=0.1, nms=0.1 | time: 10.27 sec
SAR_sweep_lr0.0002_b512 | score=0.1, nms=0.1 | time: 8.06 sec
SAR_sweep_lr0.00005_b256 | score=0.1, nms=0.1 | time: 9.90 sec
SAR_sweep_lr0.00005_b512 | score=0.1, nms=0.1 | time: 8.13 sec
SAR_sweep_lr0.0001_b256 | score=0.1, nms=0.1 | time: 7.96 sec
SAR_sweep_lr0.0001_b512 | score=0.1, nms=0.1 | time: 7.84 sec
SAR_sweep_lr0.0002_b256 | score=0.1, nms=0.1 | time: 8.16 sec
SAR_sweep_lr0.0002_b512 | score=0.1, nms=0.1 | time: 8.33 sec
SAR_sweep_v5_lr0.00015_b512_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 9.63 sec
SAR_sweep_v5_lr0.00015_b512_nms0.4_score0.5 | score=0.1, nms=0.1 | time: 7.54 sec
SAR_sweep_v5_lr0.00015_b768_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 7.43 sec
SAR_sweep_v5_lr0.00015_b768_nms0.4_score0.5 | score=0.1, nms=0.1 | time: 7.49 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 4.95 sec
SAR_sweep_v5_lr0.0002_b512_nms0.4_score0.5 | score=0.1, nms=0.1 | time: 7.60 sec
SAR_sweep_v5_lr0.0002_b768_nms0.4_score0.4 | score=0.1, nms=0.1 | time: 7.44 sec
SAR_sweep_v5_lr0.0002_b768_nms0.4_score0.5 | score=0.1, nms=0.1 | time: 7.53 sec
